"'Allowance' column title","titolo della colonna 'Allowance'"
"X-Pos.  images 222","X-Pos. immagini 222"
"X-Pos. attr. 2","X-Pos. attr. 2"
"X-Pos. attr. 2 (+ prices col)","X-Pos. attr. 2 (+ prezzi COL)"
"X-Pos. attr. 2 (+ prices, tax cols)","X-Pos. attr. 2 (+ prezzi, cols fiscali)"
"X-Pos. attr. 3","X-Pos. attr. 3"
"X-Pos. attr. 3 (+ prices col)","X-Pos. attr. 3 (+ prezzi COL)"
"X-Pos. attr. 3 (+ prices, tax cols)","X-Pos. attr. 3 (+ prezzi, cols fiscali)"
"X-Pos. barcodes","X-Pos. codici a barre"
"X-Pos. custom product options","X-Pos. opzioni di prodotto personalizzato"
"X-Pos. custom product options (+ prices col)","X-Pos. opzioni di prodotto su misura (+ prezzi COL)"
"X-Pos. custom product options (+ prices, tax cols)","X-Pos. opzioni di prodotto su misura (+ prezzi, cols fiscali)"
"X-Pos. date","X-Pos. Data"
"X-Pos. images","X-Pos. immagini"
"X-Pos. images (+ prices col)","X-Pos. immagini (+ prezzi COL)"
"X-Pos. images (+ prices, tax cols)","X-Pos. immagini (+ prezzi, cols fiscali)"
"X-Pos. name","X-Pos. Nome"
"X-Pos. name (+ prices col)","X-Pos. Nome (+ prezzi COL)"
"X-Pos. name (+ prices, tax cols)","X-Pos. Nome (+ prezzi, cols fiscali)"
"X-Pos. numbered list","X-Pos. elenco numerato"
"X-Pos. numbered list bundle children","X-Pos. Lista fascio bambini numerati"
"X-Pos. product discount","X-Pos. sconto del prodotto"
"X-Pos. product discount?","X-Pos. sconto prodotto?"
#N/A
"X-Pos. product line total?","X-Pos. totale linea di prodotti?"
"X-Pos. qty","X-Pos. qty"
"X-Pos. qty (+ prices col)","X-Pos. qty (+ prezzi COL)"
"X-Pos. qty (+ prices, tax cols)","X-Pos. Qtà (+ prezzi, cols fiscali)"
"X-Pos. shelf","X-Pos. mensola"
"X-Pos. shelf (+ prices col)","X-Pos. scaffale (+ prezzi COL)"
"X-Pos. shelf (+ prices, tax cols)","X-Pos. scaffale (+ prezzi, cols fiscali)"
"X-Pos. sku","X-Pos. SKU"
"X-Pos. sku (+ prices col)","X-Pos. SKU (+ prezzi COL)"
"X-Pos. sku (+ prices, tax cols)","X-Pos. SKU (+ prezzi, cols fiscali)"
"X-Pos. SKU barcode","X-Pos. SKU codice a barre"
"X-Pos. SKU barcode (+ prices col)","X-Pos. SKU codice a barre (+ prezzi COL)"
"X-Pos. SKU barcode (+ prices, tax cols)","X-Pos. SKU di codici a barre (+ prezzi, cols fiscali)"
"X-Pos. tickbox","X-Pos. casella di spunta"
"X-Pos. tickbox (+ prices col)","X-Pos. tickbox (+ prezzi COL)"
"X-Pos. tickbox (+ prices, tax cols)","X-Pos. Tickbox (+ prezzi, cols fiscali)"
"X-Pos. total price","X-Pos. prezzo totale"
"X-Pos. total price (+ tax col)","X-Pos. prezzo totale (+ col fiscale)"
"X-Pos. unit price","X-Pos. prezzo unitario"
"X-Pos. unit price (+ tax col)","X-Pos. prezzo unitario (+ col fiscale)"
"X-Pos. unit tax","X-Pos. imposta unitario"
"X-Pos. unit tax?","X-Pos. imposta unitario?"
"XML/CSV Cargo Packing Sheet","XML / CSV Cargo foglio di imballaggio"
"Xpos name","nome xpos"
"Xpos qty","xpos qty"
"Xpos shelving","xpos scaffalatura"
"Y-pos","Y-pos"
"Yes","sì"
"Yes (After tax)","Sì (dopo le tasse)"
"Yes (item custom attribute with specific date)","Sì (voce attributo personalizzato con data specifica)"
"Yes (Multiple products)","Sì (prodotti multipli)"
"Yes (Single products)","Sì (prodotti singoli)"
"Yes in Packing Sheets & Invoices Only","Si nell'imballaggio Lenzuola e fatture Solo"
"Yes in Picklists Only","Sì in picklists Solo"
"Yes, *not* including email","Sì, * non * e-mail incluso"
"Yes, 2 messages, depending on customer group","Sì, 2 messaggi, a seconda del gruppo di clienti"
"Yes, after shipping address","Sì, dopo l'indirizzo di spedizione"
"Yes, an image","Sì, un'immagine"
"Yes, and don\'t include date","Sì, e don \ 't includono la data"
"Yes, and double-quote quotes","Sì, e citazioni doppio quote"
"Yes, and include date","Sì, e comprendono la data"
"Yes, and strip all quotes","Sì, e striscia tutte le citazioni"
"Yes, average price paid (taken from invoice row)","Sì, prezzo medio pagato (preso dal braccio della fattura)"
"Yes, before shipping address","Sì, prima di indirizzo di spedizione"
"Yes, below product line, linear","Sì, sotto la linea di prodotti, lineari"
"Yes, below product line, stacked","Sì, sotto la linea di prodotti, impilati"
"Yes, below product line, stacked & boxed","Sì, sotto la linea di prodotti, accatastati e in scatola"
"Yes, both in a Tax column and a Tax subtotal","Si, sia in una colonna fiscale e un subtotale fiscale"
"Yes, by Order Attribute","Sì, per attributo order"
"Yes, by Order Status","Sì, per Stato dell'ordine"
"Yes, by Shipping Method","Sì, dal metodo di spedizione"
"YES, CAPITALISE","SÌ, Capitalizzare"
"Yes, Child (Simple product full SKU (include option))","Sì, Bambino (prodotto semplice pieno SKU (includere opzionale))"
"Yes, Child (Simple product full SKU, including product options)","Sì, Bambino (prodotto semplice pieno SKU, comprese le opzioni di prodotto)"
"Yes, Child (Simple product SKU **Default**)","Sì, Bambino (prodotto semplice SKU ** ** di default)"
"Yes, Child (Simple product)","Sì, Bambino (prodotto semplice)"
"Yes, combined in movable box","Sì, combinati in scatola mobile"
"Yes, combined in new page","Sì, combinati in nuova pagina"
"Yes, combined in positionable box","Sì, combinati in scatola posizionabile"
"Yes, combined under products list","Sì, combinata nei lista dei prodotti"
"Yes, combined under shipping address","Sì, unito sotto l'indirizzo di spedizione"
"Yes, combo attributes","Sì, attribuisce combinata"
"Yes, concise","Sì, conciso"
"Yes, count each option as a separate SKU","Sì, contare ogni opzione come SKU separato"
"Yes, count each option as a separate SKU, grouped under parent product","Sì, conta ogni opzione come SKU separato, raggruppati sotto prodotto principale"
"Yes, custom attribute","Sì, attributo personalizzato"
"Yes, depending on Country Group","Sì, a seconda del gruppo Country"
"Yes, filter by notes text","Sì, il filtro da un testo note"
"Yes, fixed text","Sì, testo fisso"
"Yes, for Pick Lists and Packing Sheets","Sì, per liste di prelievo e fogli di imballaggio"
"Yes, from custom attribute","Sì, da attributo personalizzato"
"Yes, full SKU","Yes, full SKU"
"Yes, Garuda [good for: Thai, Latin]","Sì, Garuda [Per: Thai, Latino]"
"Yes, grayed out","Sì, in grigio"
"Yes, group parent SKUs and option SKUs","Sì, capogruppo SKU e l'opzione SKU"
"Yes, in a Tax column","Sì, in una colonna Tax"
"Yes, in a Tax subtotal","Sì, in un subtotale fiscale"
"Yes, in page base","Sì, a base di pagina"
"Yes, in positionable box (handy for tear-off labels)","Sì, in scatola posizionabile (utile per etichette a strappo)"
"Yes, in separate column","Sì, in colonna separata"
"Yes, in title","Sì, a titolo"
"Yes, incl. tax","Sì, incl. imposta"
"Yes, including email","Sì, tra cui e-mail"
"Yes, inline with product SKU","Sì, in linea con il prodotto SKU"
"Yes, Invoice ID","Sì, fattura ID"
"Yes, Kinnari (similar to Georgia) [good for: Thai, Latin]","Sì, Kinnari (simile a Georgia) [Per: Thai, Latino]"
"Yes, Marketplace Order ID","Sì, Marketplace ID ordine"
"Yes, MS Gothic [large filesize, good for: Japanese, Latin]","Sì, MS Gothic [grande dimensione del file, buon per: giapponese, Latino]"
"Yes, new line for each, under product SKU","Sì, la nuova linea per ciascuno, sotto prodotto SKU"
"Yes, on a new page","Sì, su una nuova pagina"
"Yes, on same label","Sì, sulla stessa etichetta"
"Yes, on separate label","Sì, su un'etichetta separata"
"Yes, one message, horizontal strip","Sì, un messaggio, striscia orizzontale"
"Yes, one message, positionable box","Sì, un messaggio, contenitore posizionabile"
"Yes, one product per label","Sì, un prodotto per etichetta"
"Yes, only output Invoiced items","Sì, solo gli elementi di uscita Fatturato"
"Yes, only output Shipped items","Sì, solo gli elementi di uscita Spedito"
"Yes, order details + shipping label","Sì, dettagli dell'ordine + etichetta di spedizione"
"Yes, order details only","Sì, ordine dettaglio solo"
"Yes, Order ID","Sì, ID ordine"
"Yes, Parent (Configurable parent **Default**)","Sì, Genitori (genitore configurabile ** ** di default)"
"Yes, Parent (Configurable parent SKU)","Sì, Genitori (genitore configurabile SKU)"
"Yes, product category","Sì, categoria di prodotto"
"Yes, product ID","Sì, ID del prodotto"
"Yes, product name","Sì, il nome del prodotto"
"Yes, product SKU","Sì, il prodotto SKU"
"Yes, Purisa (similar to Comic Sans) [good for: Thai, Latin]","Sì, Purisa (simile al Comic Sans) [Per: Thai, Latino]"
"Yes, Sawasdee [good for: Thai, Latin]","Sì, Sawasdee [Per: Thai, Latino]"
"Yes, shipping label only","solo Sì, etichetta di spedizione"
"Yes, show only notes tagged \'visible on frontend\'","Sì, mostrare solo le note taggati \ 'visibile sul frontend \'"
"Yes, Simplified Chinese [good for: Chinese]","Sì, cinese semplificato [Per: cinese]"
"Yes, split parent SKUs if option SKUs vary","Sì, genitore dividere SKU se l'opzione SKU variano"
"Yes, standard fonts [large filesize, good for accented Latin]","Sì, font standard [grande spazio, buono per accentata Latino]"
"Yes, Tahoma [medium filesize, good for: Arabic, Latin]","Sì, Tahoma [media dimensione del file, buono per: Arabo, Latino]"
"Yes, to 0 decimal places","Sì, a 0 cifre decimali"
"Yes, total product cost price","Sì, prodotto totale prezzo di costo"
"Yes, total sold price, excluding shipping","Sì, il prezzo totale venduto, a parte trasporto"
"Yes, total sold price, including shipping","Sì, il prezzo totale venduto, compresa la navigazione"
"Yes, Traditional Chinese [good for: Chinese]","Sì, tradizionale cinese [Per: cinese]"
"Yes, under individual product","Sì, sotto singolo prodotto"
"Yes, under product list","Sì, sotto la lista dei prodotti"
"Yes, up to a pallet","Sì, fino a un pallet"
"Yes, Uppercase","Sì, Maiuscolo"
"Yes, with no tax info","Sì, senza informazioni fiscali"
"Yes, with Tax","Sì, con imposte"
"Yes, with VAT info","Sì, con informazioni sull'IVA"
"Yes: bold","Sì: bold"
"Yes: bold & underline","Sì: bold & sottolineatura"
"Yes: bold, underlined & red","Sì: in grassetto, sottolineato e rosso"
"Yes: boxed","Sì: in scatola"
"You need courierRules installed for this to work. This will use the specific label generated by courierRules.","È necessario courierRules installate per far funzionare tutto questo. In questo modo utilizzare l'etichetta specifica generata da courierRules."
"Filter/split by supplier?","Filtro / raggruppati per fornitore?"
"'Combined Packing Sheet/Invoice' grouped by Order ID?","'Combinato imballaggio foglio / fattura' raggruppati per ID ordine?"
"Reset pickPack","Ripristina pickPack"
"Export pickPack Settings","Impostazioni pickPack esportazione"
"Import pickPack Settings","Impostazioni pickPack importazione"
"'PDF Invoice & Packing Sheet' Sort","'PDF Invoice Sheet & Packing' Sort"
"Customise CSVs","Personalizza CSV"
"Customise PDFs","Personalizza i PDF"
"Customise Admin/Frontend Options","Personalizza Opzioni Admin / frontend"
"pickPack User Guide","Guida per l'utente pickPack"
"Moogento Store","Moogento Conservare"
