"'Allowance' column title",""Учет" в заголовке столбца"
"X-Pos. custom product options (+ prices, tax cols)","X-Pos. Варианты на заказ продукции (+ цены, налоговые COLS)"
"X-Pos. date","X-Pos. Дата"
"X-Pos. images","X-Pos. изображений"
"X-Pos. images (+ prices col)","X-Pos. фотографии (+ цены COL)"
"X-Pos. images (+ prices, tax cols)","X-Pos. изображения (+ цены, налоговые смещ_по_столбцам)"
"X-Pos. name","X-Pos. имя"
"X-Pos. name (+ prices col)","X-Pos. Имя (+ цены Col)"
"X-Pos. name (+ prices, tax cols)","X-Pos. имя (+ цены, налоговые смещ_по_столбцам)"
"X-Pos. numbered list","X-Pos. пронумерованный список"
"X-Pos. numbered list bundle children","X-Pos. пронумерованный список расслоение детей"
"X-Pos. product discount","X-Pos. продукт скидка"
"X-Pos. product discount?","X-Pos. продукт скидка?"
#N/A
"X-Pos. product line total?","X-Pos. линейка продуктов общей сложности?"
"X-Pos. qty","X-Pos. кол-во"
"X-Pos. qty (+ prices col)","X-Pos. кол-во (+ цены Col)"
"X-Pos. qty (+ prices, tax cols)","X-Pos. Количество (+ цены, налоговые COLS)"
"X-Pos. shelf","X-Pos. полка"
"X-Pos. shelf (+ prices col)","X-Pos. полки (+ цены Col)"
"X-Pos. shelf (+ prices, tax cols)","X-Pos. полки (+ цены, налоговые смещ_по_столбцам)"
"X-Pos. sku","X-Pos. SKU"
"X-Pos. sku (+ prices col)","X-Pos. Код (+ цены Col)"
"X-Pos. sku (+ prices, tax cols)","X-Pos. SKU (+ цены, налоговые COLS)"
"X-Pos. SKU barcode","X-Pos. SKU штрих-кода"
"X-Pos. SKU barcode (+ prices col)","X-Pos. SKU штрих-кода (+ цены Col)"
"X-Pos. SKU barcode (+ prices, tax cols)","X-Pos. SKU штрих-кода (+ цены, налоговые смещ_по_столбцам)"
"X-Pos. tickbox","X-Pos. tickbox"
"X-Pos. tickbox (+ prices col)","X-Pos. tickbox (+ цены Col)"
"X-Pos. tickbox (+ prices, tax cols)","X-Pos. tickbox (+ цены, налоговые COLS)"
"X-Pos. total price","X-Pos. Итоговая цена"
"X-Pos. total price (+ tax col)","X-Pos. Общая стоимость (+ налог Col)"
"X-Pos. unit price","X-Pos. Цена за единицу"
"X-Pos. unit price (+ tax col)","X-Pos. цена единицы товара (+ налог Col)"
"X-Pos. unit tax","X-Pos. блок налог"
"X-Pos. unit tax?","X-Pos. Блок налог?"
"XML/CSV Cargo Packing Sheet","XML / CSV упаковке груза лист"
"Xpos name","имя XPOS"
"Xpos qty","XPOS кол-во"
"Xpos shelving","XPOS стеллаж"
"Y-pos","Y-поз"
"Yes","да"
"Yes (After tax)","Да (после уплаты налогов)"
"Yes (item custom attribute with specific date)","Да (пункт пользовательского атрибута с определенной даты)"
"Yes (Multiple products)","Да (несколько продуктов)"
"Yes (Single products)","Да (Single продукты)"
"Yes in Packing Sheets & Invoices Only","Да в упаковке листов & счетов-фактур Только"
"Yes in Picklists Only","Да в Picklists только"
"Yes, *not* including email","Да, * не * в том числе по электронной почте"
"Yes, 2 messages, depending on customer group","Да, 2 сообщения, в зависимости от группы клиентов"
"Yes, after shipping address","Да, после того, как адрес доставки"
"Yes, an image","Да, изображение"
"Yes, and don\'t include date","Да, и Дон \ 'т включают дату"
"Yes, and double-quote quotes","Да и двойные кавычки цитаты"
"Yes, and include date","Да, и включают в себя дату"
"Yes, and strip all quotes","Да, и полоса все цитаты"
"Yes, average price paid (taken from invoice row)","Да, средняя цена, уплаченная (взяты из счета-фактуры строки)"
"Yes, before shipping address","Да, до адреса доставки"
"Yes, below product line, linear","Да, ниже линии продуктов, линейный"
"Yes, below product line, stacked","Да, ниже продуктовой линейки, многоярусные"
"Yes, below product line, stacked & boxed","Да, ниже продуктовой линейки, многоярусные и боксировал"
"Yes, both in a Tax column and a Tax subtotal","Да, как в колонке и налогов промежуточный итог"
"Yes, by Order Attribute","Да, приказом Attribute"
"Yes, by Order Status","Да, по статусу заказа"
"Yes, by Shipping Method","Да, Способ доставки"
"YES, CAPITALISE","YES, прописными буквами"
"Yes, Child (Simple product full SKU (include option))","Да, ребенок (простой продукт полный SKU (включая вариант))"
"Yes, Child (Simple product full SKU, including product options)","Да, ребенок (простой продукт полный SKU, включая варианты продукта)"
"Yes, Child (Simple product SKU **Default**)","Да, ребенок (Простой продукт SKU ** По умолчанию **)"
"Yes, Child (Simple product)","Да, ребенок (Простой продукт)"
"Yes, combined in movable box","Да, объединенные в подвижном окне"
"Yes, combined in new page","Да, объединены в новую страницу"
"Yes, combined in positionable box","Да, объединенные в позиционируемых окне"
"Yes, combined under products list","Да, объединены под списком продуктов"
"Yes, combined under shipping address","Да, в сочетании по адресу доставки"
"Yes, combo attributes","Да, комбо атрибуты"
"Yes, concise","Да, кратким"
"Yes, count each option as a separate SKU","Да, рассчитывать каждый вариант как отдельный SKU"
"Yes, count each option as a separate SKU, grouped under parent product","Да, рассчитывать каждый вариант как отдельный SKU, сгруппированных под родительского продукта"
"Yes, custom attribute","Да, пользовательский атрибут"
"Yes, depending on Country Group","Да, в зависимости от группы стран"
"Yes, filter by notes text","Да, фильтр примечания текста"
"Yes, fixed text","Да, фиксированный текст"
"Yes, for Pick Lists and Packing Sheets","Да, для выбора списков и упаковки листов"
"Yes, from custom attribute","Да, из пользовательского атрибута"
"Yes, full SKU","Да, полный SKU"
"Yes, Garuda [good for: Thai, Latin]","Да, Гаруда [хорошо для: тайский, латинский]"
"Yes, grayed out","Да, серый цвет"
"Yes, group parent SKUs and option SKUs","Да, группа родитель SKUs и вариант SKUs"
"Yes, in a Tax column","Да, в колонке налоговой"
"Yes, in a Tax subtotal","Да, в налоговой промежуточный итог"
"Yes, in page base","Да, в базе страницы"
"Yes, in positionable box (handy for tear-off labels)","Да, в позиционируемых коробке (удобно для отрывных этикеток)"
"Yes, in separate column","Да, в отдельной колонке"
"Yes, in title","Да, в заголовке"
"Yes, incl. tax","Да, вкл. налог"
"Yes, including email","Да, в том числе по электронной почте"
"Yes, inline with product SKU","Да, рядный с продуктом SKU"
"Yes, Invoice ID","Да, счет-фактура ID"
"Yes, Kinnari (similar to Georgia) [good for: Thai, Latin]","Да, Kinnari (по аналогии с Грузией) [хорошо для: тайский, латинский]"
"Yes, Marketplace Order ID","Да, Marketplace ID заказа"
"Yes, MS Gothic [large filesize, good for: Japanese, Latin]","Да, MS Gothic [большой размер файла, хорошо для: японский, латынь]"
"Yes, new line for each, under product SKU","Да, новая линия для каждого из них под SKU продукта"
"Yes, on a new page","Да, на новой странице"
"Yes, on same label","Да, на той же этикетке"
"Yes, on separate label","Да, на отдельной этикетке"
"Yes, one message, horizontal strip","Да, одно сообщение, горизонтальная полоса"
"Yes, one message, positionable box","Да, одно сообщение, позиционируемый окно"
"Yes, one product per label","Да, один продукт на этикетке"
"Yes, only output Invoiced items","Да, только выходные Фактурная элементы"
"Yes, only output Shipped items","Да, только выходные погруженные детали"
"Yes, order details + shipping label","Да, детали заказа + доставка этикетки"
"Yes, order details only","Да, только детали заказа"
"Yes, Order ID","Да, ID заказа"
"Yes, Parent (Configurable parent **Default**)","Да, Родитель (Настраиваемый родительский ** По умолчанию **)"
"Yes, Parent (Configurable parent SKU)","Да, Родитель (Настраиваемый родительский SKU)"
"Yes, product category","Да, категория продукта"
"Yes, product ID","Да, идентификатор продукта"
"Yes, product name","Да, название продукта"
"Yes, product SKU","Да, продукт SKU"
"Yes, Purisa (similar to Comic Sans) [good for: Thai, Latin]","Да, Purisa (по аналогии с Comic Sans) [хорошо для: тайский, латинский]"
"Yes, Sawasdee [good for: Thai, Latin]","Да, Sawasdee [хорошо для: тайский, латинский]"
"Yes, shipping label only","Да, только отправка этикетка"
"Yes, show only notes tagged \'visible on frontend\'","Да, показывать только заметки, привязанные \ 'видны на внешнем интерфейсе \'"
"Yes, Simplified Chinese [good for: Chinese]","Да, Упрощенный китайский [хорошо для: китайский]"
"Yes, split parent SKUs if option SKUs vary","Да, разделить родительский SKUs если опция SKUs различаются"
"Yes, standard fonts [large filesize, good for accented Latin]","Да, стандартные шрифты [большой размер файла, хорошо для акцентированной латыни]"
"Yes, Tahoma [medium filesize, good for: Arabic, Latin]","Да, Tahoma [средний размер файла, хорошо для: арабский, латинский]"
"Yes, to 0 decimal places","Да, 0 знаков после запятой"
"Yes, total product cost price","Да, себестоимость валовой продукт"
"Yes, total sold price, excluding shipping","Да, общая цена продается, за исключением доставки"
"Yes, total sold price, including shipping","Да, общая продается цена, включая доставку"
"Yes, Traditional Chinese [good for: Chinese]","Да, традиционный китайский [хорошо для: китайский]"
"Yes, under individual product","Да, по индивидуальному продукту"
"Yes, under product list","Да, под списком продуктов"
"Yes, up to a pallet","Да, до поддона"
"Yes, Uppercase","Да, Прописные"
"Yes, with no tax info","Да, без налоговой информации"
"Yes, with Tax","Да, с помощью налога"
"Yes, with VAT info","Да, с информацией по НДС"
"Yes: bold","Да: полужирный"
"Yes: bold & underline","Да: жирным шрифтом и подчеркивание"
"Yes: bold, underlined & red","Да: жирный, подчеркнутый и красный"
"Yes: boxed","Да: в штучной упаковке"
"You need courierRules installed for this to work. This will use the specific label generated by courierRules.","Вам нужно courierRules установленные для этой работы. Это будет использовать определенный ярлык, сгенерированный courierRules."
"Filter/split by supplier?","Фильтр / расщепляется поставщиком?"
"'Combined Packing Sheet/Invoice' grouped by Order ID?",""Комбинированный упаковочный лист / счет-фактура", сгруппированные по заказа ID?"
"Reset pickPack","Сбросить pickPack"
"Export pickPack Settings","Настройки экспорта pickPack"
"Import pickPack Settings","Параметры импорта pickPack"
"'PDF Invoice & Packing Sheet' Sort","'PDF счета-фактуры и упаковочный лист "Сортировка"
"Customise CSVs","Настроить версии CSV"
"Customise PDFs","PDF-файлов Настройка"
"Customise Admin/Frontend Options","Настройка Администратор / Frontend Параметры"
"pickPack User Guide","Руководство пользователя pickPack"
"Moogento Store","Moogento магазин"
