"'Allowance' column title","заглавие колона "Помощи""
"X-Pos. shelf","X-Поз. рафт"
"X-Pos. shelf (+ prices col)","X-Поз. рафт (цени + да сътрудничат)"
"X-Pos. shelf (+ prices, tax cols)","X-Поз. рафт (цени +, данъчни колони)"
"X-Pos. sku","X-Поз. Код"
"X-Pos. sku (+ prices col)","X-Поз. Код (+ цените да сътрудничат)"
"X-Pos. sku (+ prices, tax cols)","X-Поз. Код (+ цени, данъчни COLS)"
"X-Pos. SKU barcode","X-Поз. Код баркод"
"X-Pos. SKU barcode (+ prices col)","X-Поз. Код баркод (цени + да сътрудничат)"
"X-Pos. SKU barcode (+ prices, tax cols)","X-Поз. Код баркод (цени +, данъчни колони)"
"X-Pos. tickbox","X-Поз. tickbox"
"X-Pos. tickbox (+ prices col)","X-Поз. tickbox (+ цените да сътрудничат)"
"X-Pos. tickbox (+ prices, tax cols)","X-Поз. tickbox (+ цени, данъчни COLS)"
"X-Pos. total price","X-Поз. обща цена"
"X-Pos. total price (+ tax col)","X-Поз. Общата цена (+ данък цв)"
"X-Pos. unit price","X-Поз. единична цена"
"X-Pos. unit price (+ tax col)","X-Поз. единична цена (+ данък цв)"
"X-Pos. unit tax","X-Поз. единица данък"
"X-Pos. unit tax?","X-Поз. единица данък?"
"XML/CSV Cargo Packing Sheet","XML / CSV Cargo Опаковка Sheet"
"Xpos name","име Xpos"
"Xpos qty","Xpos Количество"
"Xpos shelving","Xpos стелажи"
"Y-pos","Y-поз"
"Yes","да"
"Yes (After tax)","Да (след данъчно облагане)"
"Yes (item custom attribute with specific date)","Да (т персонализирани атрибути с конкретна дата)"
"Yes (Multiple products)","Да (Множество продукти)"
"Yes (Single products)","Да (Единични продукти)"
"Yes in Packing Sheets & Invoices Only","Да в амбалажи листове и фактури Само"
"Yes in Picklists Only","Да в Picklists Само"
"Yes, *not* including email","Да, * не * включително имейл"
"Yes, 2 messages, depending on customer group","Да, 2 съобщения, в зависимост от група клиенти"
"Yes, after shipping address","Да, след като адрес за доставка"
"Yes, an image","Да, един образ"
"Yes, and don\'t include date","Да, и дон т \ 'включва дата"
"Yes, and double-quote quotes","Да, и двойно цитат кавички"
"Yes, and include date","Да, и включва дата"
"Yes, and strip all quotes","Да, и се съблича всички цитати"
"Yes, average price paid (taken from invoice row)","Да, средната цена, платена (взет от фактура ред)"
"Yes, before shipping address","Да, преди адрес за доставка"
"Yes, below product line, linear","Да, по-долу продуктова линия, линейна"
"Yes, below product line, stacked","Да, по-долу продуктова линия, подредени"
"Yes, below product line, stacked & boxed","Да, по-долу продуктова линия, подредени и опаковка"
"Yes, both in a Tax column and a Tax subtotal","Да, и двете в данъчен колона и Tax субтотална"
"Yes, by Order Attribute","Да, със Заповед Умение"
"Yes, by Order Status","Да, от статут на поръчката"
"Yes, by Shipping Method","Да, от Начин на доставка"
"YES, CAPITALISE","YES, CAPITALISE"
"Yes, Child (Simple product full SKU (include option))","Да, Child (Simple продукт пълна Код (включва опция))"
"Yes, Child (Simple product full SKU, including product options)","Да, Child (Simple продукт пълна SKU, включително продуктови опции)"
"Yes, Child (Simple product SKU **Default**)","Да, Child (Simple продукт SKU ** Default **)"
"Yes, Child (Simple product)","Да, Child (Simple продукт)"
"Yes, combined in movable box","Да, комбинирани в подвижна кутия"
"Yes, combined in new page","Да, обединени в нова страница"
"Yes, combined in positionable box","Да, комбинирани в позиционират кутия"
"Yes, combined under products list","Да, комбинирани под списък продукти"
"Yes, combined under shipping address","Да, комбинирани под адрес за доставка"
"Yes, combo attributes","Да, комбо атрибути"
"Yes, concise","Да, сбит"
"Yes, count each option as a separate SKU","Да, брои всяка опция като отделен Код"
"Yes, count each option as a separate SKU, grouped under parent product","Да, брои всяка опция като отделен SKU, групирани под родител продукт"
"Yes, custom attribute","Да, обичай атрибут"
"Yes, depending on Country Group","Да, в зависимост от Country Group"
"Yes, filter by notes text","Да, филтър по ноти текст"
"Yes, fixed text","Да, фиксиран текст"
"Yes, for Pick Lists and Packing Sheets","Да, за Pick списъци и пакетиране листове"
"Yes, from custom attribute","Да, от потребителски атрибут"
"Yes, full SKU","Да, пълна Код"
"Yes, Garuda [good for: Thai, Latin]","Да, Garuda [добро за: Thai, Латинска]"
"Yes, grayed out","Да, оцветена в сиво,"
"Yes, group parent SKUs and option SKUs","Да, родителска група ИЕ и опция ИЕ"
"Yes, in a Tax column","Да, в данъчен колона"
"Yes, in a Tax subtotal","Да, в данъчен субтотална"
"Yes, in page base","Да, в страницата база"
"Yes, in positionable box (handy for tear-off labels)","Да, в позиционират кутия (удобен за отчупване етикети)"
"Yes, in separate column","Да, в отделна колона"
"Yes, in title","Да, в заглавието"
"Yes, incl. tax","Да, вкл. данък"
"Yes, including email","Да, включително имейл"
"Yes, inline with product SKU","Да, инлайн с продукта Код"
"Yes, Invoice ID","Да, фактура ID"
"Yes, Kinnari (similar to Georgia) [good for: Thai, Latin]","Да, Kinnari (подобно на Грузия) [добро за: Thai, Латинска]"
"Yes, Marketplace Order ID","Да, Marketplace Поръчка ID"
"Yes, MS Gothic [large filesize, good for: Japanese, Latin]","Да, MS Gothic [голям размер на файла, добро за: японски, латински]"
"Yes, new line for each, under product SKU","Да, нова линия за всеки, под продукта Код"
"Yes, on a new page","Да, на нова страница"
"Yes, on same label","Да, на същия етикет"
"Yes, on separate label","Да, на отделен етикет"
"Yes, one message, horizontal strip","Да, едно съобщение, хоризонтална ивица"
"Yes, one message, positionable box","Да, едно съобщение, позициониране кутия"
"Yes, one product per label","Да, един продукт на етикет"
"Yes, only output Invoiced items","Да, само изходни фактура елементи"
"Yes, only output Shipped items","Да, само изходни Доставят елементи"
"Yes, order details + shipping label","Да, подробности за поръчката + етикет корабоплаването"
"Yes, order details only","Да, за да детайли само"
"Yes, Order ID","Да, Поръчка ID"
"Yes, Parent (Configurable parent **Default**)","Да, майка (КОНФИГУРИРУЕМИ майка ** Default **)"
"Yes, Parent (Configurable parent SKU)","Да, майка (КОНФИГУРИРУЕМИ родител SKU)"
"Yes, product category","Да, продуктова категория"
"Yes, product ID","Да, продукт ID"
"Yes, product name","Да, име на продукт"
"Yes, product SKU","Да, продукт SKU"
"Yes, Purisa (similar to Comic Sans) [good for: Thai, Latin]","Да, Purisa (подобно на Comic Sans) [добро за: Thai, Латинска]"
"Yes, Sawasdee [good for: Thai, Latin]","Да, Sawasdee [добро за: Thai, Латинска]"
"Yes, shipping label only","само Да, корабоплаването етикет"
"Yes, show only notes tagged \'visible on frontend\'","Да, показва само бележки маркирани \ 'вижда на интерфейса \ ""
"Yes, Simplified Chinese [good for: Chinese]","Да, опростен китайски [добро за: китайски]"
"Yes, split parent SKUs if option SKUs vary","Да, разделена родител ИЕ ако опция ИЕ варира"
"Yes, standard fonts [large filesize, good for accented Latin]","Да, серийно шрифтове [голям размер на файла, добри за акцент Латинска]"
"Yes, Tahoma [medium filesize, good for: Arabic, Latin]","Да, Tahoma [среден размер на файла, добро за: арабски, латински]"
"Yes, to 0 decimal places","Да, за да 0 знака след десетичната запетая"
"Yes, total product cost price","Да, себестойност общия продукт"
"Yes, total sold price, excluding shipping","Да, общо продадени цена, с изключение на корабоплаването"
"Yes, total sold price, including shipping","Да, общо продадени цена, включително корабоплаването"
"Yes, Traditional Chinese [good for: Chinese]","Да, традиционен китайски [добро за: китайски]"
"Yes, under individual product","Да, по силата на отделен продукт"
"Yes, under product list","Да, под списъка с продукти"
"Yes, up to a pallet","Да, до палета"
"Yes, Uppercase","Да, главни"
"Yes, with no tax info","Да, с никакъв данък инфо"
"Yes, with Tax","Да, с Tax"
"Yes, with VAT info","Да, с инфо ДДС"
"Yes: bold","Да: удебелен шрифт"
"Yes: bold & underline","Да: удебелен шрифт и подчертаване"
"Yes: bold, underlined & red","Да: смел, подчертан и червено"
"Yes: boxed","Да: опаковка"
"You need courierRules installed for this to work. This will use the specific label generated by courierRules.","Трябва courierRules инсталирани за тази работа. Това ще използва специален етикет, генерирани от courierRules."
"Filter/split by supplier?","Филтър / разделен от доставчика?"
"'Combined Packing Sheet/Invoice' grouped by Order ID?",""Комбинирана Опаковка Sheet / Фактура" групирани по Поръчка ID?"
"Reset pickPack","Reset pickPack"
"Export pickPack Settings","Експортните Settings pickPack"
"Import pickPack Settings","Внос pickPack Settings"
"'PDF Invoice & Packing Sheet' Sort",""PDF Invoice & Опаковка Sheet" Сортиране"
"Customise CSVs","Персонализиране на CSV файлове"
"Customise PDFs","Персонализирайте PDF файлове"
"Customise Admin/Frontend Options","Персонализирайте Admin / на предния слой Options"
"pickPack User Guide","pickPack Ръководство за потребителя"
"Moogento Store","Moogento Store"
