"'Allowance' column title","título da coluna 'Provisão'"
"X-Pos. tickbox","X-Pos. tickbox"
"X-Pos. tickbox (+ prices col)","X-Pos. tickbox (+ preços COL)"
"X-Pos. tickbox (+ prices, tax cols)","X-Pos. tickbox (+ preços, cols fiscais)"
"X-Pos. total price","X-Pos. preço total"
"X-Pos. total price (+ tax col)","X-Pos. preço total (+ col impostos)"
"X-Pos. unit price","X-Pos. preço unitário"
"X-Pos. unit price (+ tax col)","X-Pos. preço unitário (+ col impostos)"
"X-Pos. unit tax","X-Pos. imposto unitário"
"X-Pos. unit tax?","X-Pos. imposto unitário?"
"XML/CSV Cargo Packing Sheet","XML / CSV Carga Folha de embalagem"
"Xpos name","nome xpos"
"Xpos qty","xpos qty"
"Xpos shelving","xpos prateleiras"
"Y-pos","Y-pos"
"Yes","sim"
"Yes (After tax)","Sim (após impostos)"
"Yes (item custom attribute with specific date)","Sim (item de atributo personalizado com data específica)"
"Yes (Multiple products)","Sim (Múltiplos produtos)"
"Yes (Single products)","Sim (produtos Individual)"
"Yes in Packing Sheets & Invoices Only","Sim, em Lençóis e Facturas de embalagem só"
"Yes in Picklists Only","Sim na picklists Só"
"Yes, *not* including email","Sim, * não * incluindo e-mail"
"Yes, 2 messages, depending on customer group","Sim, 2 mensagens, dependendo do grupo de clientes"
"Yes, after shipping address","Sim, depois de endereço de entrega"
"Yes, an image","Sim, uma imagem"
"Yes, and don\'t include date","Sim, e Don \ 't incluir a data"
"Yes, and double-quote quotes","Sim, e aspas aspas duplas"
"Yes, and include date","Sim, e incluem data"
"Yes, and strip all quotes","Sim, e tira todas as citações"
"Yes, average price paid (taken from invoice row)","Sim, o preço médio pago (tomada de linha da fatura)"
"Yes, before shipping address","Sim, antes de endereço de entrega"
"Yes, below product line, linear","Sim, abaixo da linha de produtos, linear"
"Yes, below product line, stacked","Sim, abaixo da linha de produto, empilhados"
"Yes, below product line, stacked & boxed","Sim, abaixo da linha de produto, empilhados e encaixotados"
"Yes, both in a Tax column and a Tax subtotal","Sim, tanto em uma coluna Fiscal e um subtotal Tax"
"Yes, by Order Attribute","Sim, por ordem Atributo"
"Yes, by Order Status","Sim, pelo Estado da encomenda"
"Yes, by Shipping Method","Sim, pelo método de envio"
"YES, CAPITALISE","SIM, Capitalize"
"Yes, Child (Simple product full SKU (include option))","Sim, Criança (produto simples SKU completa (opção include))"
"Yes, Child (Simple product full SKU, including product options)","Sim, Criança (produto simples SKU completo, incluindo opções de produtos)"
"Yes, Child (Simple product SKU **Default**)","Sim, Criança (produto simples SKU ** Padrão **)"
"Yes, Child (Simple product)","Sim, Criança (produto simples)"
"Yes, combined in movable box","Sim, combinado na caixa móvel"
"Yes, combined in new page","Sim, combinados em nova página"
"Yes, combined in positionable box","Sim, combinado na caixa positionable"
"Yes, combined under products list","Sim, combinadas sob lista de produtos"
"Yes, combined under shipping address","Sim, combinadas sob endereço de entrega"
"Yes, combo attributes","Sim, os atributos de combinação"
"Yes, concise","Sim, concisa"
"Yes, count each option as a separate SKU","Sim, contar cada opção como uma SKU separada"
"Yes, count each option as a separate SKU, grouped under parent product","Sim, contar cada opção como uma SKU separada, agrupados sob produto pai"
"Yes, custom attribute","Sim, atributo personalizado"
"Yes, depending on Country Group","Sim, dependendo Grupo País"
"Yes, filter by notes text","Sim, filtro de texto notas"
"Yes, fixed text","Sim, texto fixo"
"Yes, for Pick Lists and Packing Sheets","Sim, para listas de seleção e folhas de embalagem"
"Yes, from custom attribute","Sim, de atributo personalizado"
"Yes, full SKU","Sim, SKU completa"
"Yes, Garuda [good for: Thai, Latin]","Sim, Garuda [boa para: Thai, Latim]"
"Yes, grayed out","Sim, acinzentado"
"Yes, group parent SKUs and option SKUs","Sim, pai do grupo de SKUs e opção de SKUs"
"Yes, in a Tax column","Sim, em uma coluna Tax"
"Yes, in a Tax subtotal","Sim, em um subtotal Tax"
"Yes, in page base","Sim, na base de página"
"Yes, in positionable box (handy for tear-off labels)","Sim, na caixa positionable (útil para rótulos destacáveis)"
"Yes, in separate column","Sim, em coluna separada"
"Yes, in title","Sim, em título"
"Yes, incl. tax","Sim, incl. imposto"
"Yes, including email","Sim, incluindo e-mail"
"Yes, inline with product SKU","Sim, em linha com o produto SKU"
"Yes, Invoice ID","Sim, fatura ID"
"Yes, Kinnari (similar to Georgia) [good for: Thai, Latin]","Sim, Kinnari (semelhante a Georgia) [bom para: Thai, Latim]"
"Yes, Marketplace Order ID","Sim, mercado Order ID"
"Yes, MS Gothic [large filesize, good for: Japanese, Latin]","Sim, MS Gothic [grande tamanho do arquivo, bom para: Japonês, Latim]"
"Yes, new line for each, under product SKU","Sim, a nova linha para cada, de acordo com o produto SKU"
"Yes, on a new page","Sim, em uma nova página"
"Yes, on same label","Sim, no mesmo rótulo"
"Yes, on separate label","Sim, no rótulo separado"
"Yes, one message, horizontal strip","Sim, uma mensagem, tira horizontal"
"Yes, one message, positionable box","Sim, uma mensagem, a caixa positionable"
"Yes, one product per label","Sim, um produto por etiqueta"
"Yes, only output Invoiced items","Sim, apenas os itens de saída faturado"
"Yes, only output Shipped items","Sim, apenas os itens de saída Enviado"
"Yes, order details + shipping label","Sim, detalhes do pedido + etiqueta de envio"
"Yes, order details only","Sim, detalha única ordem"
"Yes, Order ID","Sim, ID do pedido"
"Yes, Parent (Configurable parent **Default**)","Sim, Pai (pai configurável ** Padrão **)"
"Yes, Parent (Configurable parent SKU)","Sim, Pai (pai configurável SKU)"
"Yes, product category","Sim, categoria de produto"
"Yes, product ID","Sim, ID do produto"
"Yes, product name","Sim, o nome do produto"
"Yes, product SKU","Sim, o produto SKU"
"Yes, Purisa (similar to Comic Sans) [good for: Thai, Latin]","Sim, Purisa (semelhante a Comic Sans) [bom para: Thai, Latim]"
"Yes, Sawasdee [good for: Thai, Latin]","Sim, Sawasdee [boa para: Thai, Latim]"
"Yes, shipping label only","Sim, etiqueta de envio única"
"Yes, show only notes tagged \'visible on frontend\'","Sim, mostrar apenas as notas marcadas \ 'visível no frontend \'"
"Yes, Simplified Chinese [good for: Chinese]","Sim, chinês simplificado [boa para: Chinese]"
"Yes, split parent SKUs if option SKUs vary","Sim, pai dividir SKUs se a opção SKUs variar"
"Yes, standard fonts [large filesize, good for accented Latin]","Sim, fontes padrão [grande tamanho do arquivo, bom para Latin acentuada]"
"Yes, Tahoma [medium filesize, good for: Arabic, Latin]","Sim, Tahoma [tamanho do arquivo médio, bom para: Árabe, Latim]"
"Yes, to 0 decimal places","Sim, a 0 casas decimais"
"Yes, total product cost price","Sim, o preço de custo total do produto"
"Yes, total sold price, excluding shipping","Sim, o preço total vendido, com exclusão do transporte"
"Yes, total sold price, including shipping","Sim, o preço total vendido, incluindo o transporte"
"Yes, Traditional Chinese [good for: Chinese]","Sim, chinês tradicional [boa para: Chinese]"
"Yes, under individual product","Sim, sob o produto individual"
"Yes, under product list","Sim, sob a lista de produtos"
"Yes, up to a pallet","Sim, até uma palete"
"Yes, Uppercase","Sim, Maiúsculas"
"Yes, with no tax info","Sim, sem informações fiscais"
"Yes, with Tax","Sim, com Tax"
"Yes, with VAT info","Sim, com a informação de IVA"
"Yes: bold","Sim: bold"
"Yes: bold & underline","Sim: bold & sublinhado"
"Yes: bold, underlined & red","Sim: bold, sublinhado & vermelho"
"Yes: boxed","Sim: encaixotado"
"You need courierRules installed for this to work. This will use the specific label generated by courierRules.","Você precisa courierRules instalados para que isso funcione. Isto irá usar o rótulo específico gerado pelo courierRules."
"Filter/split by supplier?","Filtro / dividido pelo fornecedor?"
"'Combined Packing Sheet/Invoice' grouped by Order ID?","'Folha de embalagem Combinado / Fatura' agrupadas por ID do pedido?"
"Reset pickPack","repor pickPack"
"Export pickPack Settings","Configurações pickPack exportação"
"Import pickPack Settings","Configurações de importação pickPack"
"'PDF Invoice & Packing Sheet' Sort","'PDF Invoice & folha de embalagem' Ordenar"
"Customise CSVs","Personaliza CSVs"
"Customise PDFs","Personalize PDFs"
"Customise Admin/Frontend Options","Personalize Opções de Admin / frontend"
"pickPack User Guide","Guia do Usuário pickPack"
"Moogento Store","Moogento loja"
