"'Allowance' column title",""Облік" в заголовку стовпця"
"Value","значення"
"Vert Line","Vert лінія"
"Warehouse?","Склад?"
"Weight Based number?","Вага номер На підставі?"
"Weight Based?","Вага На підставі?"
"Weight multiplier","вага множник"
"Weight rounding","вага округлення"
"Weight unit","питома вага"
"Weight unit:","Блок Вага:"
"What is your word for 'tax'?","Яке ваше слово "податок"?"
"Where to position custom product attributes on the picklists.<br />Default: Columns","Де розташувати свої атрибути продукту на picklists <br /> За замовчуванням :. Стовпці"
"Which Aitoc attribute codes?","Які AITOC коди атрибутів?"
"Which Options?","Які варіанти?"
"Which value for configurable product names?","Яке значення для конфігуруються назв продуктів?"
"Which?","Котрий?"
"Width","ширина"
"X days after printing date?","X днів після друку дати?"
"X-Nudge","X-Зрушити"
"X-pos","X-полюсна"
"X-Pos [434]","X-Pos [434]"
"X-Pos.  images 222","X-Pos. зображення 222"
"X-Pos. attr. 2","X-Pos. атр. 2"
"X-Pos. attr. 2 (+ prices col)","X-Pos. атр. 2 (+ ціни Col)"
"X-Pos. attr. 2 (+ prices, tax cols)","X-Pos. атр. 2 (+ ціни, податкові смещ_по_столбцам)"
"X-Pos. attr. 3","X-Pos. атр. 3"
"X-Pos. attr. 3 (+ prices col)","X-Pos. атр. 3 (+ ціни Col)"
"X-Pos. attr. 3 (+ prices, tax cols)","X-Pos. атр. 3 (+ ціни, податкові смещ_по_столбцам)"
"X-Pos. barcodes","X-Pos. штрих-коди"
"X-Pos. custom product options","X-Pos. Параметри користувальницьких продуктів"
"X-Pos. custom product options (+ prices col)","X-Pos. Варіанти на замовлення продукції (+ ціни COL)"
"X-Pos. custom product options (+ prices, tax cols)","X-Pos. Варіанти на замовлення продукції (+ ціни, податкові COLS)"
"X-Pos. date","X-Pos. дата"
"X-Pos. images","X-Pos. зображень"
"X-Pos. images (+ prices col)","X-Pos. фотографії (+ ціни COL)"
"X-Pos. images (+ prices, tax cols)","X-Pos. зображення (+ ціни, податкові смещ_по_столбцам)"
"X-Pos. name","X-Pos. ім'я"
"X-Pos. name (+ prices col)","X-Pos. Ім'я (+ ціни Col)"
"X-Pos. name (+ prices, tax cols)","X-Pos. ім'я (+ ціни, податкові смещ_по_столбцам)"
"X-Pos. numbered list","X-Pos. пронумерований список"
"X-Pos. numbered list bundle children","X-Pos. пронумерований список розшарування дітей"
"X-Pos. product discount","X-Pos. продукт знижка"
"X-Pos. product discount?","X-Pos. продукт знижка?"
#N/A
"X-Pos. product line total?","X-Pos. лінійка продуктів цілому?"
"X-Pos. qty","X-Pos. кол-во"
"X-Pos. qty (+ prices col)","X-Pos. кол-во (+ ціни Col)"
"X-Pos. qty (+ prices, tax cols)","X-Pos. Кількість (+ ціни, податкові COLS)"
"X-Pos. shelf","X-Pos. полиця"
"X-Pos. shelf (+ prices col)","X-Pos. полки (+ ціни Col)"
"X-Pos. shelf (+ prices, tax cols)","X-Pos. полки (+ ціни, податкові смещ_по_столбцам)"
"X-Pos. sku","X-Pos. SKU"
"X-Pos. sku (+ prices col)","X-Pos. Код (+ ціни Col)"
"X-Pos. sku (+ prices, tax cols)","X-Pos. SKU (+ ціни, податкові COLS)"
"X-Pos. SKU barcode","X-Pos. SKU штрих-коду"
"X-Pos. SKU barcode (+ prices col)","X-Pos. SKU штрих-коду (+ ціни Col)"
"X-Pos. SKU barcode (+ prices, tax cols)","X-Pos. SKU штрих-коду (+ ціни, податкові смещ_по_столбцам)"
"X-Pos. tickbox","X-Pos. tickbox"
"X-Pos. tickbox (+ prices col)","X-Pos. tickbox (+ ціни Col)"
"X-Pos. tickbox (+ prices, tax cols)","X-Pos. tickbox (+ ціни, податкові COLS)"
"X-Pos. total price","X-Pos. Загальна сума"
"X-Pos. total price (+ tax col)","X-Pos. Загальна вартість (+ податок Col)"
"X-Pos. unit price","X-Pos. ціна за одиницю"
"X-Pos. unit price (+ tax col)","X-Pos. ціна одиниці товару (+ податок Col)"
"X-Pos. unit tax","X-Pos. блок податок"
"X-Pos. unit tax?","X-Pos. Блок податок?"
"XML/CSV Cargo Packing Sheet","XML / CSV упаковці вантажу лист"
"Xpos name","ім'я XPOS"
"Xpos qty","XPOS кількість"
"Xpos shelving","XPOS стелаж"
"Y-pos","Y-поз"
"Yes","Так"
"Yes (After tax)","Так (після сплати податків)"
"Yes (item custom attribute with specific date)","Так (пункт користувальницького атрибута з певної дати)"
"Yes (Multiple products)","Так (кілька продуктів)"
"Yes (Single products)","Так (Single продукти)"
"Yes in Packing Sheets & Invoices Only","Так в упаковці листів & рахунків-фактур Тільки"
"Yes in Picklists Only","Так в Picklists тільки"
"Yes, *not* including email","Так, * не є у тому числі по електронній пошті"
"Yes, 2 messages, depending on customer group","Так, 2 повідомлення, в залежності від групи клієнтів"
"Yes, after shipping address","Так, після того, як адресу доставки"
"Yes, an image","Так, зображення"
"Yes, and don\'t include date","Так, і Дон \ 'т включають дату"
"Yes, and double-quote quotes","Та й подвійні лапки цитати"
"Yes, and include date","Так, і включають в себе дату"
"Yes, and strip all quotes","Так, і смуга все цитати"
"Yes, average price paid (taken from invoice row)","Так, середня ціна, сплачена (взяті з рахунку-фактури рядки)"
"Yes, before shipping address","Так, до адреси доставки"
"Yes, below product line, linear","Так, нижче лінії продуктів, лінійний"
"Yes, below product line, stacked","Так, нижче продуктової лінійки, багатоярусні"
"Yes, below product line, stacked & boxed","Так, нижче продуктової лінійки, багатоярусні і боксував"
"Yes, both in a Tax column and a Tax subtotal","Так, як в колонці і податків проміжний підсумок"
"Yes, by Order Attribute","Так, наказом Attribute"
"Yes, by Order Status","Так, за статусом замовлення"
"Yes, by Shipping Method","Так, Спосіб доставки"
"YES, CAPITALISE","YES, прописними літерами"
"Yes, Child (Simple product full SKU (include option))","Так, дитина (простий продукт повний SKU (включаючи варіант))"
"Yes, Child (Simple product full SKU, including product options)","Так, дитина (простий продукт повний SKU, включаючи варіанти продукту)"
"Yes, Child (Simple product SKU **Default**)","Так, дитина (Простий продукт SKU ** За замовчуванням **)"
"Yes, Child (Simple product)","Так, дитина (Простий продукт)"
"Yes, combined in movable box","Так, об'єднані в рухомому вікні"
"Yes, combined in new page","Так, об'єднані в нову сторінку"
"Yes, combined in positionable box","Так, об'єднані в позиціонуються вікні"
"Yes, combined under products list","Так, об'єднані під списком продуктів"
"Yes, combined under shipping address","Так, в поєднанні з адресою доставки"
"Yes, combo attributes","Так, комбо атрибути"
"Yes, concise","Так, коротким"
"Yes, count each option as a separate SKU","Так, розраховувати кожен варіант як окремий SKU"
"Yes, count each option as a separate SKU, grouped under parent product","Так, розраховувати кожен варіант як окремий SKU, згрупованих під батьківського продукту"
"Yes, custom attribute","Так, призначений для користувача атрибут"
"Yes, depending on Country Group","Так, в залежності від групи країн"
"Yes, filter by notes text","Так, фільтр примітки тексту"
"Yes, fixed text","Так, фіксований текст"
"Yes, for Pick Lists and Packing Sheets","Так, для вибору списків і упаковки листів"
"Yes, from custom attribute","Так, з призначеного для користувача атрибуту"
"Yes, full SKU","Так, повний SKU"
"Yes, Garuda [good for: Thai, Latin]","Так, Гаруда [добре для: тайський, латинський]"
"Yes, grayed out","Так, сірий колір"
"Yes, group parent SKUs and option SKUs","Так, група батько SKUs і варіант SKUs"
"Yes, in a Tax column","Так, в колонці податкової"
"Yes, in a Tax subtotal","Так, в податковій проміжний підсумок"
"Yes, in page base","Так, в базі сторінки"
"Yes, in positionable box (handy for tear-off labels)","Так, в які позиціонують коробці (зручно для відривних етикеток)"
"Yes, in separate column","Так, в окремій колонці"
"Yes, in title","Так, в заголовку"
"Yes, incl. tax","Так, вкл. податок"
"Yes, including email","Так, в тому числі по електронній пошті"
"Yes, inline with product SKU","Так, рядний з продуктом SKU"
"Yes, Invoice ID","Так, рахунок-фактура ID"
"Yes, Kinnari (similar to Georgia) [good for: Thai, Latin]","Так, Kinnari (за аналогією з Грузією) [добре для: тайський, латинський]"
"Yes, Marketplace Order ID","Так, Marketplace ID замовлення"
"Yes, MS Gothic [large filesize, good for: Japanese, Latin]","Так, MS Gothic [великий розмір файлу, добре для: японський, латинь]"
"Yes, new line for each, under product SKU","Так, нова лінія для кожного з них під SKU продукту"
"Yes, on a new page","Так, починаючи з нової сторінки"
"Yes, on same label","Так, на тій же етикетці"
"Yes, on separate label","Так, на окремій етикетці"
"Yes, one message, horizontal strip","Так, одне повідомлення, горизонтальна смуга"
"Yes, one message, positionable box","Так, одне повідомлення, що позиціонується вікно"
"Yes, one product per label","Так, один продукт на етикетці"
"Yes, only output Invoiced items","Так, тільки вихідні Фактурна елементи"
"Yes, only output Shipped items","Так, тільки вихідні занурені деталі"
"Yes, order details + shipping label","Так, деталі замовлення + доставка етикетки"
"Yes, order details only","Так, тільки деталі замовлення"
"Yes, Order ID","Так, ID замовлення"
"Yes, Parent (Configurable parent **Default**)","Так, Батько (що настроюється батьківський ** За замовчуванням **)"
"Yes, Parent (Configurable parent SKU)","Так, Батько (що настроюється батьківський SKU)"
"Yes, product category","Так, категорія продукту"
"Yes, product ID","Так, ідентифікатор продукту"
"Yes, product name","Так, назва продукту"
"Yes, product SKU","Так, продукт SKU"
"Yes, Purisa (similar to Comic Sans) [good for: Thai, Latin]","Так, Purisa (по аналогії з Comic Sans) [добре для: тайський, латинський]"
"Yes, Sawasdee [good for: Thai, Latin]","Так, Sawasdee [добре для: тайський, латинський]"
"Yes, shipping label only","Так, тільки відправка етикетка"
"Yes, show only notes tagged \'visible on frontend\'","Так, показувати тільки замітки, прив'язані \ 'видно на зовнішньому інтерфейсі \'"
"Yes, Simplified Chinese [good for: Chinese]","Так, Спрощена китайська [добре для: китайський]"
"Yes, split parent SKUs if option SKUs vary","Так, розділити батьківський SKUs якщо опція SKUs розрізняються"
"Yes, standard fonts [large filesize, good for accented Latin]","Так, стандартні шрифти [великий розмір файлу, добре для акцентованою латині]"
"Yes, Tahoma [medium filesize, good for: Arabic, Latin]","Так, Tahoma [середній розмір файлу, добре для: арабська, латинський]"
"Yes, to 0 decimal places","Так, 0 знаків після коми"
"Yes, total product cost price","Так, собівартість валовий продукт"
"Yes, total sold price, excluding shipping","Так, загальна ціна продається, за винятком доставки"
"Yes, total sold price, including shipping","Так, загальна продається ціна, включаючи доставку"
"Yes, Traditional Chinese [good for: Chinese]","Так, традиційний китайський [добре для: китайський]"
"Yes, under individual product","Так, за індивідуальним продукту"
"Yes, under product list","Так, під списком продуктів"
"Yes, up to a pallet","Так, до піддону"
"Yes, Uppercase","Так, Прописні"
"Yes, with no tax info","Так, без податкової інформації"
"Yes, with Tax","Так, за допомогою податку"
"Yes, with VAT info","Так, з інформацією по ПДВ"
"Yes: bold","Так: напівжирний"
"Yes: bold & underline","Так: жирним шрифтом і підкреслення"
"Yes: bold, underlined & red","Так: жирний, підкреслений і червоний"
"Yes: boxed","Так: в штучної упаковці"
"You need courierRules installed for this to work. This will use the specific label generated by courierRules.","Вам потрібно courierRules встановлені для цієї роботи. Це буде використовувати певний ярлик, згенерований courierRules."
"Filter/split by supplier?","Фільтр / розщеплюється постачальником?"
"'Combined Packing Sheet/Invoice' grouped by Order ID?",""Комбінований пакувальний лист / рахунок-фактура", згруповані за замовлення ID?"
"Reset pickPack","скинути pickPack"
"Export pickPack Settings","Параметри експорту pickPack"
"Import pickPack Settings","Параметри імпорту pickPack"
"'PDF Invoice & Packing Sheet' Sort","'PDF рахунки-фактури і пакувальний лист "Сортування"
"Customise CSVs","Налаштувати версії CSV"
"Customise PDFs","PDF-файлів Налаштування"
"Customise Admin/Frontend Options","Налаштування Адміністратор / Frontend Параметри"
"pickPack User Guide","Керівництво користувача pickPack"
"Moogento Store","Moogento магазин"
